---------------------------------------------------------
| countryHappy             | rank  | nbcata             |
| "Cambodia"               | "129" |                    |
| "Cameroon"               | "107" |                    |
| "CentralAfricanRepublic" | "155" |                    |
| "Chad"                   | "137" |                    |
| "Congo(Brazzaville)"     | "124" |                    |
| "Congo(Kinshasa)"        | "126" |                    |
| "CostaRica"              | "12"  |                    |
| "CzechRepublic"          | "23"  |                    |
| "DominicanRepublic"      | "86"  |                    |
| "ElSalvador"             | "45"  |                    |
| "Estonia"                | "66"  |                    |
| "Ethiopia"               | "119" |                    |
| "Finland"                | "5"   |                    |
| "Gabon"                  | "118" |                    |
| "Guinea"                 | "149" |                    |
| "HongKongS.A.R.,China"   | "71"  |                    |
| "Hungary"                | "75"  |                    |
| "Iraq"                   | "117" |                    |
| "IvoryCoast"             | "128" |                    |
| "Kazakhstan"             | "60"  |                    |
| "Kosovo"                 | "78"  |                    |
| "Kuwait"                 | "39"  |                    |
| "Kyrgyzstan"             | "98"  |                    |
| "Latvia"                 | "54"  |                    |
| "Lesotho"                | "139" |                    |
| "Liberia"                | "148" |                    |
| "Libya"                  | "68"  |                    |
| "Lithuania"              | "52"  |                    |
| "Luxembourg"             | "18"  |                    |
| "Macedonia"              | "92"  |                    |
| "Madagascar"             | "144" |                    |
| "Malawi"                 | "136" |                    |
| "Malaysia"               | "42"  |                    |
| "Mali"                   | "127" |                    |
| "Malta"                  | "27"  |                    |
| "Mauritania"             | "123" |                    |
| "Mauritius"              | "64"  |                    |
| "Moldova"                | "56"  |                    |
| "Mongolia"               | "100" |                    |
| "Mozambique"             | "113" |                    |
| "Myanmar"                | "114" |                    |
| "Namibia"                | "111" |                    |
| "NewZealand"             | "8"   |                    |
| "Niger"                  | "135" |                    |
| "Nigeria"                | "95"  |                    |
| "NorthCyprus"            | "61"  |                    |
| "PalestinianTerritories" | "103" |                    |
| "Paraguay"               | "70"  |                    |
| "Poland"                 | "46"  |                    |
| "Qatar"                  | "35"  |                    |
| "Romania"                | "57"  |                    |
| "Rwanda"                 | "151" |                    |
| "SaudiArabia"            | "37"  |                    |
| "Senegal"                | "115" |                    |
| "Serbia"                 | "73"  |                    |
| "SierraLeone"            | "106" |                    |
| "Singapore"              | "26"  |                    |
| "Slovakia"               | "40"  |                    |
| "Slovenia"               | "62"  |                    |
| "Somalia"                | "93"  |                    |
| "SouthAfrica"            | "101" |                    |
| "SouthKorea"             | "55"  |                    |
| "SouthSudan"             | "147" |                    |
| "SriLanka"               | "120" |                    |
| "TaiwanProvinceofChina"  | "33"  |                    |
| "Tajikistan"             | "96"  |                    |
| "Tanzania"               | "153" |                    |
| "Thailand"               | "32"  |                    |
| "TrinidadandTobago"      | "38"  |                    |
| "Uganda"                 | "133" |                    |
| "UnitedArabEmirates"     | "21"  |                    |
| "UnitedKingdom"          | "19"  |                    |
| "UnitedStates"           | "14"  |                    |
| "Uzbekistan"             | "47"  |                    |
| "Yemen"                  | "146" |                    |
| "Zambia"                 | "116" |                    |
| "Zimbabwe"               | "138" |                    |
---------------------------------------------------------
